Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
0.122382000,1,1,1,1,1,1,1,1
0.131998000,0,1,1,1,1,1,1,1
0.132030500,1,1,1,1,1,1,1,1
0.132062000,0,1,1,1,1,1,1,1
0.132071000,1,1,1,1,1,1,1,1
0.132087500,0,1,1,1,1,1,1,1
0.132104500,1,1,1,1,1,1,1,1
0.132113000,0,1,1,1,1,1,1,1
0.132122000,1,1,1,1,1,1,1,1
0.132138500,0,1,1,1,1,1,1,1
0.132155500,1,1,1,1,1,1,1,1
0.132164000,0,1,1,1,1,1,1,1
0.132173000,1,1,1,1,1,1,1,1
0.132181500,0,1,1,1,1,1,1,1
0.132198500,1,1,1,1,1,1,1,1
0.132223000,0,1,1,1,1,1,1,1
0.132240000,1,1,1,1,1,1,1,1
0.132248500,0,1,1,1,1,1,1,1
0.132281500,1,1,1,1,1,1,1,1
0.132290000,0,1,1,1,1,1,1,1
0.132323000,1,1,1,1,1,1,1,1
0.132339500,0,1,1,1,1,1,1,1
0.132364500,1,1,1,1,1,1,1,1
0.132373000,0,1,1,1,1,1,1,1
0.132406000,1,1,1,1,1,1,1,1
0.132430500,0,1,1,1,1,1,1,1
0.132439500,1,1,1,1,1,1,1,1
0.132448000,0,1,1,1,1,1,1,1
0.132465000,1,1,1,1,1,1,1,1
0.132473500,0,1,1,1,1,1,1,1
0.132490500,1,1,1,1,1,1,1,1
0.132523000,0,1,1,1,1,1,1,1
0.132532000,1,1,1,1,1,1,1,1
0.132540500,0,1,1,1,1,1,1,1
0.132557500,1,1,1,1,1,1,1,1
0.132566000,0,1,1,1,1,1,1,1
0.132583000,1,1,1,1,1,1,1,1
0.132591750,0,1,1,1,1,1,1,1
0.132600250,1,1,1,1,1,1,1,1
0.167209750,0,1,1,1,1,1,1,1
0.167242250,1,1,1,1,1,1,1,1
0.167273750,0,1,1,1,1,1,1,1
0.167282750,1,1,1,1,1,1,1,1
0.167299250,0,1,1,1,1,1,1,1
0.167324250,1,1,1,1,1,1,1,1
0.167332750,0,1,1,1,1,1,1,1
0.167349750,1,1,1,1,1,1,1,1
0.167358250,0,1,1,1,1,1,1,1
0.167367250,1,1,1,1,1,1,1,1
0.167375750,0,1,1,1,1,1,1,1
0.167384750,1,1,1,1,1,1,1,1
0.167393250,0,1,1,1,1,1,1,1
0.167410250,1,1,1,1,1,1,1,1
0.167426750,0,1,1,1,1,1,1,1
0.167451750,1,1,1,1,1,1,1,1
0.167460250,0,1,1,1,1,1,1,1
0.167493250,1,1,1,1,1,1,1,1
0.167501750,0,1,1,1,1,1,1,1
0.167534750,1,1,1,1,1,1,1,1
