Time [s],Channel 0
259.694776500,0
259.694809250,1
259.694817500,0
259.694850250,1
259.694858500,0
259.694891250,1
259.694899500,0
259.694932250,1
259.694956500,0
259.694965250,1
259.694973500,0
259.694990250,1
259.695006500,0
259.695015250,1
259.695031500,0
259.695048250,1
259.695056500,0
259.695081250,1
259.695089500,0
259.695098250,1
259.695130500,0
259.695147250,1
259.695156000,0
259.695165000,1
259.702917000,0
259.702949250,1
259.702981000,0
259.702989750,1
259.703006500,0
259.703031250,1
259.703040000,0
259.703056750,1
259.703065500,0
259.703074250,1
259.703083000,0
259.703091750,1
259.703100500,0
259.703117250,1
259.703134000,0
259.703158750,1
259.703167500,0
259.703176250,1
259.703185000,0
259.703193750,1
259.703202500,0
259.703219250,1
259.703228000,0
259.703244750,1
259.703253500,0
259.703262250,1
259.703271000,0
259.703279750,1
259.703288500,0
259.703297250,1
259.703306000,0
259.703314750,1
259.703323500,0
259.703332250,1
259.703341000,0
259.703373750,1
259.703406500,0
259.703415250,1
259.703424000,0
259.703448750,1
259.703457500,0
259.703466250,1
259.703475000,0
259.703491750,1
259.703500500,0
259.703517250,1
259.703526000,0
259.703534750,1
259.703543500,0
259.703560250,1
259.703585000,0
259.703617750,1
259.703626500,0
259.703651250,1
259.703660000,0
259.703668750,1
259.703701500,0
259.703710250,1
259.703751000,0
259.703759750,1
259.703768500,0
259.703777250,1
259.703794000,0
259.703810750,1
259.703819500,0
259.703836500,1
259.703845000,0
259.703854000,1
259.703862500,0
259.703871500,1
259.703880000,0
259.703889000,1
259.703897500,0
259.703930500,1
259.753133500,0
259.753165750,1
259.753197500,0
259.753206250,1
259.753223000,0
259.753247750,1
259.753256500,0
259.753273250,1
259.753282000,0
259.753290750,1
259.753299500,0
259.753308250,1
259.753317000,0
259.753333750,1
259.753350500,0
259.753375250,1
259.753384000,0
259.753392750,1
259.753401500,0
259.753410250,1
259.753419000,0
259.753435750,1
259.753444500,0
259.753461250,1
259.753486000,0
259.753502750,1
259.753519500,0
259.753528250,1
259.753537000,0
259.753545750,1
259.753554500,0
259.753587250,1
259.753620000,0
259.753628750,1
259.753637500,0
259.753654250,1
259.753663000,0
259.753671750,1
259.753696500,0
259.753705250,1
259.753714000,0
259.753730750,1
259.753739500,0
259.753748250,1
259.753757000,0
259.753773750,1
259.753798500,0
259.753831250,1
259.753840000,0
259.753864750,1
259.753873500,0
259.753882250,1
259.753915000,0
259.753923750,1
259.753964500,0
259.753989250,1
259.754006000,0
259.754014750,1
259.754023500,0
259.754032250,1
259.754041000,0
259.754049750,1
259.754058500,0
259.754067250,1
259.754076000,0
259.754084750,1
259.754093500,0
259.754102250,1
259.754111000,0
259.754119750,1
259.754128500,0
259.754145250,1
259.763138500,0
259.763170750,1
259.763202500,0
259.763211250,1
259.763220000,0
259.763228750,1
259.763237500,0
259.763246250,1
259.763255000,0
259.763279750,1
259.763288500,0
259.763297250,1
259.763306000,0
259.763314750,1
259.763323500,0
259.763340250,1
259.763357000,0
259.763381750,1
259.763390500,0
259.763423250,1
259.763432000,0
259.763464750,1
259.763473500,0
259.763506250,1
259.763515000,0
259.763547750,1
259.763556500,0
259.763589250,1
259.763598000,0
259.763630750,1
259.763639500,0
259.763672250,1
259.763681000,0
259.763697750,1
259.763714500,0
259.763755250,1
259.763764000,0
259.763796750,1
259.763805500,0
259.763838250,1
259.763847000,0
259.763855750,1
259.763864500,0
259.763881250,1
259.763890000,0
259.763922750,1
259.763931500,0
259.763964250,1
259.763973000,0
259.764005750,1
259.764014500,0
259.764047250,1
259.764056000,0
259.764064750,1
259.764073500,0
259.764090250,1
259.764099000,0
259.764131750,1
259.764172500,0
259.764181250,1
259.764214000,0
259.764254750,1
259.764263500,0
259.764296250,1
259.764305000,0
259.764337750,1
259.764346500,0
259.764379250,1
259.764388000,0
259.764420750,1
259.764429500,0
259.764462250,1
259.764471000,0
259.764503750,1
259.764512500,0
259.764545500,1
259.764554000,0
259.764571000,1
259.764579500,0
259.764588500,1
259.764629000,0
259.764646000,1
259.764654500,0
259.764663500,1
259.764672000,0
259.764681000,1
259.764697500,0
259.764722500,1
259.773179500,0
259.773211750,1
259.773243500,0
259.773252250,1
259.773261000,0
259.773269750,1
259.773278500,0
259.773295250,1
259.773336000,0
259.773344750,1
259.773361500,0
259.773378250,1
259.773403000,0
259.773419750,1
259.773444500,0
259.773461250,1
259.773470000,0
259.773502750,1
259.773511500,0
259.773544250,1
259.773553000,0
259.773585750,1
259.773594500,0
259.773627250,1
259.773636000,0
259.773660750,1
259.773669500,0
