t_s,wall_time,spd_count,data0,data1,rpm_count,seq
21.796,23:22:13.238,0,28,60,7228,196
21.796,23:22:13.239,0,28,96,7264,196
21.796,23:22:13.239,0,28,68,7236,196
21.796,23:22:13.239,0,27,192,7104,196
21.796,23:22:13.240,0,27,178,7090,197
21.796,23:22:13.240,0,28,14,7182,197
21.796,23:22:13.240,0,28,30,7198,197
21.796,23:22:13.240,0,28,64,7232,197
21.796,23:22:13.241,0,27,216,7128,198
21.796,23:22:13.241,0,27,234,7146,198
21.796,23:22:13.241,0,28,28,7196,198
21.796,23:22:13.243,0,28,54,7222,198
22.428,23:22:13.872,0,28,68,7236,198
22.428,23:22:13.872,0,28,32,7200,198
22.428,23:22:13.872,0,28,28,7196,199
22.428,23:22:13.873,0,28,50,7218,199
22.428,23:22:13.873,0,28,48,7216,199
22.428,23:22:13.874,0,28,96,7264,199
22.428,23:22:13.874,0,28,138,7306,200
22.428,23:22:13.874,0,28,90,7258,200
22.428,23:22:13.874,0,28,20,7188,200
22.428,23:22:13.875,0,28,18,7186,200
22.428,23:22:13.875,0,28,4,7172,201
22.428,23:22:13.875,0,28,22,7190,201
22.428,23:22:13.876,0,28,50,7218,201
23.045,23:22:14.488,0,28,20,7188,201
23.045,23:22:14.488,0,27,240,7152,201
23.045,23:22:14.488,0,28,16,7184,201
23.045,23:22:14.489,0,28,18,7186,202
23.045,23:22:14.489,0,28,78,7246,202
23.045,23:22:14.489,0,28,54,7222,202
23.045,23:22:14.490,0,28,2,7170,202
23.045,23:22:14.490,0,27,216,7128,203
23.045,23:22:14.490,0,27,208,7120,203
23.045,23:22:14.491,0,27,238,7150,203
23.045,23:22:14.491,0,27,244,7156,203
23.045,23:22:14.491,0,28,42,7210,204
23.647,23:22:15.090,0,27,234,7146,204
23.647,23:22:15.090,0,27,244,7156,204
23.647,23:22:15.091,0,28,44,7212,204
23.647,23:22:15.091,0,28,12,7180,204
23.647,23:22:15.091,0,28,50,7218,205
23.647,23:22:15.092,0,28,24,7192,205
23.647,23:22:15.092,0,27,242,7154,205
23.647,23:22:15.092,0,28,8,7176,205
23.647,23:22:15.092,0,28,6,7174,206
23.647,23:22:15.093,0,28,6,7174,206
23.647,23:22:15.093,0,28,12,7180,206
24.231,23:22:15.675,0,28,34,7202,207
24.231,23:22:15.675,0,28,52,7220,207
24.231,23:22:15.677,0,28,76,7244,207
24.231,23:22:15.678,0,28,80,7248,207
24.231,23:22:15.678,0,28,52,7220,207
24.231,23:22:15.679,0,28,6,7174,207
24.231,23:22:15.679,0,27,246,7158,208
24.231,23:22:15.680,0,28,0,7168,208
24.231,23:22:15.680,0,27,254,7166,208
24.231,23:22:15.680,0,28,94,7262,209
24.880,23:22:16.322,0,28,96,7264,209
24.880,23:22:16.323,0,28,22,7190,209
24.880,23:22:16.323,0,28,2,7170,209
24.880,23:22:16.323,0,28,4,7172,210
24.880,23:22:16.324,0,28,20,7188,210
24.880,23:22:16.324,0,27,250,7162,210
24.880,23:22:16.324,0,27,250,7162,210
24.880,23:22:16.325,0,28,52,7220,210
24.880,23:22:16.325,0,28,76,7244,210
24.880,23:22:16.325,0,28,32,7200,211
24.880,23:22:16.326,0,28,58,7226,211
24.880,23:22:16.326,0,28,46,7214,211
25.447,23:22:16.890,0,28,52,7220,211
25.447,23:22:16.891,0,28,58,7226,212
25.447,23:22:16.891,0,27,250,7162,212
25.447,23:22:16.891,0,28,28,7196,212
25.447,23:22:16.892,0,28,20,7188,213
25.447,23:22:16.892,0,28,54,7222,213
25.447,23:22:16.892,0,28,20,7188,213
25.447,23:22:16.893,0,28,78,7246,214
25.447,23:22:16.893,0,28,96,7264,214
25.447,23:22:16.893,0,28,82,7250,214
26.046,23:22:17.489,0,28,84,7252,214
26.046,23:22:17.490,0,28,62,7230,214
26.046,23:22:17.490,0,27,214,7126,215
26.046,23:22:17.490,0,28,28,7196,215
26.046,23:22:17.491,0,28,60,7228,215
26.046,23:22:17.491,0,28,24,7192,216
26.046,23:22:17.491,0,27,210,7122,216
26.046,23:22:17.491,0,27,226,7138,216
26.046,23:22:17.492,0,27,242,7154,217
26.614,23:22:18.057,0,28,82,7250,217
26.614,23:22:18.057,0,28,32,7200,217
26.614,23:22:18.057,0,28,22,7190,217
26.614,23:22:18.058,0,28,84,7252,218
26.614,23:22:18.058,0,28,34,7202,218
26.614,23:22:18.058,0,28,26,7194,218
